Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"149385.41","Salmonella enterica subsp. enterica serovar Hadar strain BCW_2689",,149385,"131567;2;1224;1236;91347;543;590;28901;59201;149385","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Hadar","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","BCW_2689",,,,"MLST.Salmonella_enterica.3271",,,,,,,,,,,,,,,,"Good","2017-03-22T00:00:00Z",,,"PRJNA203445","SAMN02368567","GCA_002065715.1",,"MYCT00000000",,"WGS",,,,,,39,4840854,52.05,5,369308,69,6,,4889,99.4,98.7,,100,,"fish intestine",,"2009",2009,,"Nigeria","Africa","Nigeria",,,,,,,,,,,,,"2017-05-28T03:16:05.659Z","2017-05-28T03:16:05.659Z"
"149385.96","Salmonella enterica subsp. enterica serovar Hadar CFSAN059886",,149385,"131567;2;1224;1236;91347;543;590;28901;59201;149385","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Hadar","Bacteria",,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","CFSAN059886","Hadar",,,"MLST.Salmonella_enterica.473",,,,,,,,,,,,,,,,"Good","2017-08-22T00:00:00Z",,,"PRJNA186035","SAMN07163928",,,"NPMD00000000",,,"Illumina NextSeq","112x","SPAdes v. 3.8.1",,,43,4915736,52.195156,4,421503,79,8,,5127,99.7,99.1,,100,,"cattle stool",,"2012",2012,,"Nigeria","Africa","Nigeria",,"Bos taurus","Cow",,,,"Nonhuman Mammal",,,,"collected_by:University of Ibadan","cntn_cf_publicComments","2022-12-26T03:04:55.505Z","2022-12-26T03:04:55.505Z"
"149539.1430","Salmonella enterica subsp. enterica serovar Enteritidis strain UGA16",,149539,"131567;2;1224;1236;91347;543;590;28901;59201;149539","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Enteritidis","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","UGA16","Enteritidis",,,"MLST.Salmonella_enterica.11",,,,,,,,,,,,,,,,"Good","2018-08-06T00:00:00Z",,,"PRJNA387953","SAMN07164055","GCA_003357105.1",,"NHTP00000000","Los Alamos National Laboratory","WGS","Illumina HiSeq","389x","Velvet v. 1.2.08",,,25,4701989,52.138,5,400902,88,6,,4909,99.6,98.7,1,100,,"blood",,"2003",2003,,"Kenya","Africa","Kenya",,"Human, Homo sapiens","Human",,,"gastroenteritis","Human",,,,"collected_by:DJ Perkins","The significant problems of emerging invasiveness and AMR are exemplified by NTS in high disease burden environments such as Siaya, Kenya. We bring together clinically and epidemiologically relevant samples, systematic phenotypic comparison, and comparative genomic analysis of four evolutionary mechanisms to shed light on a variety of evolutionary processes that shape the emergence of invasive and AMR phenotypes for NTS.","2018-09-30T06:18:52.216Z","2018-09-30T06:18:52.216Z"
"149539.1431","Salmonella enterica subsp. enterica serovar Enteritidis strain UGA18",,149539,"131567;2;1224;1236;91347;543;590;28901;59201;149539","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Enteritidis","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","UGA18","Enteritidis",,,"MLST.Salmonella_enterica.11",,,,,,,,,,,,,,,,"Good","2018-08-06T00:00:00Z",,,"PRJNA387953","SAMN07164056","GCA_003357125.1",,"NHTO00000000","Los Alamos National Laboratory","WGS","Illumina HiSeq","389x","Velvet v. 1.2.08",,,36,4866685,52.19744,4,432796,76,6,,5167,99.6,98.5,1,100,,"blood",,"2003",2003,,"Kenya","Africa","Kenya",,"Human, Homo sapiens","Human",,,"gastroenteritis","Human",,,,"collected_by:DJ Perkins","The significant problems of emerging invasiveness and AMR are exemplified by NTS in high disease burden environments such as Siaya, Kenya. We bring together clinically and epidemiologically relevant samples, systematic phenotypic comparison, and comparative genomic analysis of four evolutionary mechanisms to shed light on a variety of evolutionary processes that shape the emergence of invasive and AMR phenotypes for NTS.","2018-09-30T06:18:15.966Z","2018-09-30T06:18:15.966Z"
"149539.1519","Salmonella enterica subsp. enterica serovar Enteritidis strain EC20120916",,149539,"131567;2;1224;1236;91347;543;590;28901;59201;149539","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Enteritidis","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","EC20120916","Enteritidis",,,"MLST.Salmonella_enterica.11",,,,,,,,,,,,"genotype:ST11",,,,"Good","2019-02-24T00:00:00Z",,,"PRJNA521953","SAMN10920397","GCA_004294775.1",,"SHPL00000000","University of Pretoria","WGS","Illumina MiSeq","98.48x","SPAdes v. 2018",,,92,4695758,52.091923,11,117754,69,,,4941,99.6,98.2,,,,"Cerebrospinal fluid (CSF)",,"2018-06-06",2018,,"South Africa","Africa","South Africa:Pretoria, Kalafong Hospital",,"Human, Homo sapiens","Human","male","34","HIV meningitis","Human",,,"host_description:Patient was severely immunocompromised secondary to HIV infection (CD4 2 cells/ul). Patient presented with clinical meningitis.;host_disease_outcome:Death;host_disease_stage:Postmortem/after death;host_health_state:Dead","collected_by:Drs Roxanne Rule and Mohammed Said","Colistin-resistant Salmonella enterica subsp enterica Enteritidis isolate obtained from a severely immuno-compromised patient secondary to HIV infection and presenting with clinical meningitis in Pretoria, South Africa","2019-07-17T05:52:19.976Z","2019-07-17T05:52:19.976Z"
"149539.1537","Salmonella enterica subsp. enterica serovar Enteritidis strain 60sa",,149539,"131567;2;1224;1236;91347;543;590;28901;59201;149539","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Enteritidis","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","60sa","Enteritidis",,,,,,,,,,,,,,,,,,,"Good","2019-04-08T00:00:00Z",,,"PRJNA432303","SAMN08723077","GCA_004744765.1",,"PYJY00000000","International Livestock Research Institute","WGS","Illumina","7.852206x","SPAdes v. 3.11.1",,,332,4816335,52.210655,59,25399,70,4,,5369,99.6,94.8,,,,"Abattoir","isolated from cattle, beef carcass, personnel and slaughterhouse environment at the Yaounde abattoir","2014-11-01",2014,,"Cameroon","Africa","Cameroon: Yaounde",,"Bos taurus","Cow",,,,"Nonhuman Mammal",,,,"collected_by:Chelea Matchawe","The main objective of this study was to determine the genetic and antibiotic resistance profile of Non-Typhoidal Salmonella isolated from cattle, beef carcass, personnel and slaughterhouse environment at the Yaounde abattoir. Expected outputs will be better epidemiological monitoring of Salmonella disease outbreaks, proper use of antibiotics by farmers and clear understanding of transmission routes of carcass contamination at the Yaounde abattoir in order to design critical control points (CCP) along the slaughter chain.","2019-07-17T07:37:54.132Z","2019-07-17T07:37:54.132Z"
"149539.1539","Salmonella enterica subsp. enterica serovar Enteritidis strain 20dea",,149539,"131567;2;1224;1236;91347;543;590;28901;59201;149539","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Enteritidis","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","20dea","Enteritidis",,,"MLST.Salmonella_enterica.11",,,,,,,,,,,,,,,,"Good","2019-04-08T00:00:00Z",,,"PRJNA432303","SAMN08723033","GCA_004745055.1",,"PYKJ00000000","International Livestock Research Institute","WGS","Illumina","8.486038x","SPAdes v. 3.11.1",,,506,4762368,52.276894,86,16981,73,5,,5479,99.6,92.5,,,,"Abattoir","isolated from cattle, beef carcass, personnel and slaughterhouse environment at the Yaounde abattoir","2014-11-01",2014,,"Cameroon","Africa","Cameroon: Yaounde",,"Bos taurus","Cow",,,,"Nonhuman Mammal",,,,"collected_by:Chelea Matchawe","The main objective of this study was to determine the genetic and antibiotic resistance profile of Non-Typhoidal Salmonella isolated from cattle, beef carcass, personnel and slaughterhouse environment at the Yaounde abattoir. Expected outputs will be better epidemiological monitoring of Salmonella disease outbreaks, proper use of antibiotics by farmers and clear understanding of transmission routes of carcass contamination at the Yaounde abattoir in order to design critical control points (CCP) along the slaughter chain.","2019-07-17T07:50:11.853Z","2019-07-17T07:50:11.853Z"
"149539.2411","Salmonella enterica subsp. enterica serovar Enteritidis strain 1145s",,149539,"131567;2;1224;1236;91347;543;590;28901;59201;149539","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Enteritidis","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","1145s","Enteritidis",,,"MLST.Salmonella_enterica.78",,,,,,,,,,,,,,,,"Good","1900-01-01T00:00:00Z",,,"PRJNA713960","SAMN18275554","GCA_017497965.1",,"JAGDDT000000000","Plateau State University, Bokkos","WGS","Illumina MiSeq","200.0x","SPAdes v. 3.13.1",,,36,4704772,52.182087,5,304938,72,2,,4954,99.7,97.6,,,,"Poultry",,"2020-07-30",2020,,"Nigeria","Africa","Nigeria:Jos",,,,,,,,,,,"collected_by:Oladele Oludotun Olubusola","To sequence and characterize the genome of Salmonella enteritidis from a poultry","2021-03-29T13:36:25.928Z","2021-03-29T13:36:25.928Z"
"149539.338","Salmonella enterica subsp. enterica serovar Enteritidis strain Ke453",,149539,"131567;2;1224;1236;91347;543;590;28901;59201;149539","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Enteritidis","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","Ke453","H58",,,"MLST.Salmonella_enterica.1",,,,,,,,,,,,,,,,"Good","2015-06-13T00:00:00Z",,,"PRJEB3164","SAMEA1571983","GCF_001168305.1","ERR212638","CJRB00000000","SC","WGS",,,,,,49,4941097,51.84,8,206303,71,8,,5227,99.8,98,4.7,99.2,,,,"2008",2008,,"Kenya","Africa","Kenya",,"Human, Homo sapiens","Human",,,,"Human",,,"host_health_state:Not known;host_health_state:Not known",,"http://www.sanger.ac.uk/resources/downloads/bacteria/salmonella.html This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/","2016-01-17T16:37:06.211Z","2016-01-17T16:37:06.211Z"
"149539.811","Salmonella enterica subsp. enterica serovar Enteritidis strain BCW_2686",,149539,"131567;2;1224;1236;91347;543;590;28901;59201;149539","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Enteritidis","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","BCW_2686",,,,"MLST.Salmonella_enterica.745",,,,,,,,,,,,,,,,"Good","2017-03-22T00:00:00Z",,,"PRJNA203445","SAMN02368564","GCA_002065735.1",,"MYCW00000000",,"WGS",,,,,,67,4866604,52.2,7,228003,78,8,,4959,99.6,99.2,0.8,100,,"Human Blood",,"2009",2009,,"Nigeria","Africa","Nigeria",,"Human, Homo sapiens","Human",,,,"Human",,,,,,"2017-05-28T03:21:37.514Z","2017-05-28T03:21:37.514Z"
"149539.816","Salmonella enterica subsp. enterica serovar Enteritidis strain BCW_2685",,149539,"131567;2;1224;1236;91347;543;590;28901;59201;149539","cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Enteritidis","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica","WGS","BCW_2685",,,,"MLST.Salmonella_enterica.11",,,,,,,,,,,,,,,,"Good","2017-03-22T00:00:00Z",,,"PRJNA203445","SAMN02368563","GCA_002066435.1",,"MYCX00000000",,"WGS",,,,,,42,4702025,52.14,6,228730,75,10,,4765,99.6,98.8,,100,,"Human",,"2009",2009,,"Mauritius","Africa","Mauritius",,"Human, Homo sapiens","Human",,,,"Human",,,,,,"2017-05-28T03:29:47.040Z","2017-05-28T03:29:47.040Z"
